type,floorplanId,title,id,subtitle,terraceSqft,balconySqft,archSqft,mktgSqft,numOfBeds,numOfBaths,balcony,terrace,tub,pantry,powderRoom,office,walkInCloset,barrierFree,builtIns,juliet,image,virtualTour,pdfRef,pdf
residential,12,Unit 112,112,1BR+T,262.25,0,837,830,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1050-Saint-Louis-Floorplans_05 (112,114) 1BR.png",,105-Saint-Louis-Floodplans-Showroom_05.pdf,/assets/carresaintlouis/pdf/105-Saint-Louis-Floodplans-Showroom_05.pdf
residential,14,Unit 114,114,1BR+T,260.67,0,837,830,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1050-Saint-Louis-Floorplans_05 (112,114) 1BR.png",,105-Saint-Louis-Floodplans-Showroom_05.pdf,/assets/carresaintlouis/pdf/105-Saint-Louis-Floodplans-Showroom_05.pdf
residential,49,Unit 451,451,1BR+O+LX+B,0,59.6,889,890,1,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1050-Saint-Louis-Floorplans_10 (149-349,151-451) 1BR+O+LX.png",https://www.solutioneers.dev/tours/1804/210/,105-Saint-Louis-Floodplans-Showroom_10.pdf,/assets/carresaintlouis/pdf/105-Saint-Louis-Floodplans-Showroom_10.pdf
residential,49,Unit 149,149,1BR+O+LX+T,72.73,0,889,890,1,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1050-Saint-Louis-Floorplans_10 (149-349,151-451) 1BR+O+LX.png",,105-Saint-Louis-Floodplans-Showroom_10.pdf,/assets/carresaintlouis/pdf/105-Saint-Louis-Floodplans-Showroom_10.pdf
residential,51,Unit 151,151,1BR+O+LX+T,73.09,0,889,890,1,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1050-Saint-Louis-Floorplans_10 (149-349,151-451) 1BR+O+LX.png",,105-Saint-Louis-Floodplans-Showroom_10.pdf,/assets/carresaintlouis/pdf/105-Saint-Louis-Floodplans-Showroom_10.pdf
residential,49,Unit 249,249,1BR+O+LX+B,0,62.27,889,890,1,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1050-Saint-Louis-Floorplans_10 (149-349,151-451) 1BR+O+LX.png",,105-Saint-Louis-Floodplans-Showroom_10.pdf,/assets/carresaintlouis/pdf/105-Saint-Louis-Floodplans-Showroom_10.pdf
residential,49,Unit 251,251,1BR+O+LX+B,0,59.64,889,890,1,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1050-Saint-Louis-Floorplans_10 (149-349,151-451) 1BR+O+LX.png",,105-Saint-Louis-Floodplans-Showroom_10.pdf,/assets/carresaintlouis/pdf/105-Saint-Louis-Floodplans-Showroom_10.pdf
residential,49,Unit 349,349,1BR+O+LX+B,0,62.7,889,890,1,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1050-Saint-Louis-Floorplans_10 (149-349,151-451) 1BR+O+LX.png",,105-Saint-Louis-Floodplans-Showroom_10.pdf,/assets/carresaintlouis/pdf/105-Saint-Louis-Floodplans-Showroom_10.pdf
residential,49,Unit 351,351,1BR+O+LX+B,0,59.54,889,890,1,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1050-Saint-Louis-Floorplans_10 (149-349,151-451) 1BR+O+LX.png",,105-Saint-Louis-Floodplans-Showroom_10.pdf,/assets/carresaintlouis/pdf/105-Saint-Louis-Floodplans-Showroom_10.pdf
residential,3,Unit 103,103,1BR+O+LX+B,67.16,0,979,980,1,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1050-Saint-Louis-Floorplans_11 (103-503, 105-505) 1BR+O+LX.png",,105-Saint-Louis-Floodplans-Showroom_11.pdf,/assets/carresaintlouis/pdf/105-Saint-Louis-Floodplans-Showroom_11.pdf
